DN;Dm;Dn;d1_;b_;H;H1;D;D1;d_;n_;D2;h_
15;30;19;12;16;35;6;95;65;14;4;47;2
20;38;26;18;16;36;6;105;75;14;4;58;2
25;45;33;25;16;38;6;115;85;14;4;68;2
32;56;39;31;18;45;6;135;100;18;4;78;2
40;64;46;38;19;48;7;145;110;18;4;88;3
50;76;58;49;20;48;8;160;125;18;4;102;3
65;96;77;66;22;53;10;180;145;18;8;122;3
80;110;90;78;22;55;12;195;160;18;8;133;3
100;132;110;96;24;61;12;230;190;22;8;158;3
125;160;135;121;26;68;12;270;220;26;8;184;3
150;186;161;146;28;71;12;300;250;26;8;212;3
200;245;222;202;30;78;16;360;310;26;12;278;3
250;300;278;254;32;78;18;425;370;30;12;335;3
300;352;330;303;36;84;18;485;430;30;16;390;4
